Questions,Answers,Tags,Source,processed_at,word_count_q,word_count_a
Antineoplastics Antimicrotubular medication usage,use of antimicrotubular therapy may be considered in patients who have received at least 2 chemotherapeutic regimens for metastatic disease. see link for full list of medications.,Antimicrotubular medications,https://www.medscape.com/answers/1947145-155964/which-medications-in-the-drug-class-antineoplastics-antimicrotubular-are-used-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,4,27
what are the contraindications for sentinel lymph node (sln) biopsy in breast cancer?,"according to the asco guidelines, sentinel lymph node biopsy should not be performed in patients with any of the following: 1) large or locally advanced invasive breast cancer (tumor size t3 t4) 2) inflammatory breast cancer 3) ductal carcinoma in situ (when breast-conserving surgery is planned) 4) pregnancy",sentinel lymph node (SLN),https://www.medscape.com/answers/1947145-155335/what-are-the-contraindications-for-sentinel-lymph-node-sln-biopsy-in-breast-cancer,2025-06-21 22:19:34.186201,13,48
which radiotracers are used in scintimammography for the diagnosis of breast cancer?,"using a wide range of labeled metabolites (eg, fluorinated glucose 18 fdg ), positron emission tomography (pet) can detect changes in metabolic activity, vascularization, oxygen consumption, and tumor receptor status. when pet is combined with computed tomography (ct) to assist in anatomic localization (pet-ct), scans can identify axillary and nonaxillary (eg, internal mammary or supraclavicular) lymph node metastasis for the purposes of staging locally advanced and inflammatory breast cancer before initiation of neoadjuvant therapy and restaging high-risk patients for local or distant recurrences.",radiotracers scintimammography,https://www.medscape.com/answers/1947145-155312/which-radiotracers-are-used-in-scintimammography-for-the-diagnosis-of-breast-cancer,2025-06-21 22:19:34.186201,12,83
What is the anatomy of breast cancer,"the breasts of an adult woman are milk-producing glands on the front of the chest wall. they rest on the pectoralis major and are supported by and attached to the front of the chest wall on either side of the sternum by ligaments. each breast contains 15-20 lobes arranged in a circular fashion. for more information, visit:",anatomy ,https://www.medscape.com/answers/1947145-155249/what-is-the-anatomy-relevant-to-breast-cancer,2025-06-21 22:19:34.186201,7,57
efficacy of external-beam radiotherapy (EBRT) in the treatment of breast cancer,"the most common type of radiation therapy for breast cancer, ebrt is generally given after other treatments are complete. in ebrt, a beam of radiation, a high-energy x-ray, is focused on the spot where the cancer was removed. if a lumpectomy was performed, a patient may receive ebrt to the entire breast, a technique called whole-breast radiation. ebrt may also be delivered to nearby lymph nodes. some advantages of ebrt for breast cancer patients may include: 1) it is fast, painless and performed as an outpatient procedure. 2) unlike chemotherapy, which circulates throughout the body, ebrt is targeted to the treatment area. 3) at no point during radiation therapy is a patient radioactive, and there s no risk of radioactivity to your friends and family.",external-beam radiotherapy efficacy (EBRT),https://www.cancercenter.com/cancer-types/breast-cancer/treatments/radiation-therapy,2025-06-21 22:19:34.186201,11,125
which medications in the drug class tyrosine kinase inhibitors are used in the treatment of breast cancer?,tyrosine kinase inhibitors play an important role in the modulation of growth factor signaling. they are commonly combined with other forms of chemotherapy or radiation therapy. see link for full list of medications.,Tyrosine Kinase Inhibitors,https://www.medscape.com/answers/1947145-155965/which-medications-in-the-drug-class-tyrosine-kinase-inhibitors-are-used-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,17,33
What breast cancer symptoms and signs are present,"early breast cancers may be asymptomatic, and pain and discomfort are typically not present. if a lump is discovered, the following may indicate the possible presence of breast cancer: change in breast size or shape, skin dimpling or skin changes, recent nipple inversion or skin change, or nipple abnormalities, single-duct discharge, particularly if blood-stained, axillary lump",signs symptoms,https://www.medscape.com/answers/1947145-155239/what-are-the-signs-and-symptoms-of-breast-cancer,2025-06-21 22:19:34.186201,8,56
role of surgery in the treatment of metastatic breast cancer,"there is increasing interest in the role of surgical intervention for the intact primary tumor of these metastatic breast cancer patients. several single-institution cohort and retrospective studies have concluded that surgical resection of the intact primary tumor may provide a survival advantage. it is still unknown whether a selection bias affects the findings of a survival advantage in favor of surgery. however, the dogmatic belief that one should never operate in the setting of metastatic disease has certainly been dispelled in favor of critical evaluation of whether surgically achieved local control can lead to improved survival as a part of multimodal treatment. an ongoing prospective randomized clinical trial, e2108, is addressing the role of surgery for the primary tumor in metastatic setting.",surgery role,https://www.medscape.com/answers/1947145-155371/what-is-the-role-of-surgery-for-the-treatment-of-metastatic-breast-cancer,2025-06-21 22:19:34.186201,10,122
guidelines for sentinel lymph node biopsy during pregnancy,"in contrast with asco, the nccn concluded that insufficient data exist on which to base recommendations regarding the use of slnb in pregnant women. the nccn advises that whether to use slnb in pregnancy should be an individualized decision, but cites a review recommending that slnb should not be offered to pregnant women under 30 weeks' gestation. if slnb is used, the nccn advises that isosulfan blue or methylene blue dye is discouraged for slnb in pregnancy, and that the use of radioactive tracer (eg, technetium 99m sulfur colloid) is supported by limited data, with only case reports and estimations of fetal radiation dose.",sentinel lymph node biopsy during pregnancy,https://www.medscape.com/answers/1947145-155404/what-are-the-nccn-guidelines-for-use-of-sentinel-lymph-node-biopsy-slnb-in-the-treatment-of-breast-cancer-during-pregnancy,2025-06-21 22:19:34.186201,8,104
What characteristics of a palpable lump indicate breast cancer,"if a palpable lump is found and possesses any of the following features, breast cancer may be present: hardness irregularity focal nodularity fixation to skin or muscle",lump palpable,https://www.medscape.com/answers/1947145-155242/what-features-of-a-palpable-lump-suggest-breast-cancer,2025-06-21 22:19:34.186201,9,27
